accountsservice 26.13.3-1.1
openssh 10.3p1-1.1
os-prober 1.84-1.1
otf-font-awesome 7.2.0-1
pacman-contrib 1.13.1-1.2
paru 2.1.0-3
pavucontrol 1:6.2-1.1
perl 5.42.2-1.1
pipewire-alsa 1:1.6.7-1.1
pipewire-pulse 1:1.6.7-1.1
pkgfile 25-2.1
playerctl 2.4.1-5.1
plocate 1.1.24-1.1
plymouth 26.134.222-2.1
poppler-glib 26.06.0-1.1
power-profiles-daemon 0.30-3
protonup-qt 2.15.1-1
pv 1.10.5-1.1
python 3.14.6-2
python-defusedxml 0.7.1-8
python-packaging 26.2-1
python-pillow 12.2.0-1
python-pyqt5 5.15.11-7
python-pywalfox 2.9.0-1
python-reportlab 4.4.10-2
qqmusic-bin 1.1.8-1
quickshell 0.3.0-2.1
rclone 1.74.3-1.1
realtime-privileges 5-1
rebuild-detector 4.4.5-1
reflector 2023-5
rime-ice-git r965.c3e1a3f-1
rime-llm-translator-git r50.3f669c3-1
rime-wanxiang-gram-zh-hans 2:20260624.135547-1
rime-wubi 0.0.0.20231025-2.1
ripgrep 15.1.0-2
rog-control-center 6.3.8-1
rsync 3.4.4-1.1
rustup 1.29.0-2.1
satty 0.21.1-1.1
sg3_utils 1.48-1.2
shelly 2.4.0.4-2
shorin-contrib-git r83.9a66db6-1
shorin-dms-niri-git r105.6787765-1
shorin-proton-wrapper-git r31.2129b63-1
shorin-screenrec-menu-git r8.af74abf-1
sl 5.05-5.1
slurp 1.5.0-2.1
smartmontools 7.5-1.1
s-nail 14.9.25-1.1
snapper 0.13.1-2.1
sof-firmware 2025.12.2-1
starship 1.25.1-1
sudo 1.9.17.p2-6.1
switcheroo-control 3.0-1.1
sysfsutils 2.1.1-2.2
system-config-printer 1.5.18-6
telegram-desktop 6.9.3-7.1
terminus-font 4.49.1-8
texinfo 7.3-1.1
thunar 4.20.8-3.1
thunar-archive-plugin 0.6.0-1.1
thunar-volman 4.20.0-2.1
timg 1.6.3-2
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-maple-mono-nf-xx-xx 1.2304.76-1
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
tumbler 4.20.1-1.1
ufw 0.36.2-7
ufw-extras 1.2.0-1
unrar 1:7.2.6-1.1
unzip 6.0-23.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
uv 0.11.24-1.1
v4l2loopback-dkms 0.15.3-1
vim 9.2.0699-1.1
virtualbox 7.2.10-3
virtualbox-host-dkms 7.2.10-3
visual-studio-code-bin 1.125.1-1
vlc-plugins-all 3.0.23_2-9.1
vulkan-headers 1:1.4.350.1-1
vulkan-icd-loader 1.4.350.1-1.1
vulkan-intel 3:26.1.2-1
webp-pixbuf-loader 0.2.7-2.1
wechat-appimage 4.1.1-3
wemeet-bin 3.26.10.401-1
wf-recorder 0.6.0-1.1
wget 1.25.0-5.1
which 2.25-1.1
wireplumber 0.5.15-1.1
wl-screenrec-git r355.0925290-1
wpa_supplicant 2:2.11-5.1
wps-office-cn 12.1.2.26885-1
wps-office-mui-zh-cn 12.1.2.26885-1
xdg-desktop-portal-gnome 50.0-1.1
xdg-desktop-portal-gtk 1.15.3-1.1
xdg-terminal-exec 0.14.0-1
xdg-user-dirs 0.20-1.1
xfsprogs 7.0.1-1.1
xl2tpd 1.3.20-1.1
xorg-xhost 1.0.10-1.2
xorg-xrdb 1.2.2-2.1
xterminal-bin 5.7.17-1
yay 13.0.1-1
yazi 26.5.6-4.1
zen-browser-bin 1.21.3b-1
zoxide 0.9.9-2.1
